device_id,seq,timestamp,arrival_time,duplicate_flag,gap_flag
1,1,2025-12-09 19:03:20,2025-12-09 19:03:20.494,0,0
1,2,2025-12-09 19:03:20,2025-12-09 19:03:20.735,0,0
1,3,2025-12-09 19:03:20,2025-12-09 19:03:20.684,0,0
1,4,2025-12-09 19:03:21,2025-12-09 19:03:21.623,0,0
1,5,2025-12-09 19:03:22,2025-12-09 19:03:22.759,0,0
1,6,2025-12-09 19:03:23,2025-12-09 19:03:23.786,0,0
1,7,2025-12-09 19:03:24,2025-12-09 19:03:24.772,0,0
1,8,2025-12-09 19:03:24,2025-12-09 19:03:24.782,0,0
1,9,2025-12-09 19:03:25,2025-12-09 19:03:25.697,0,0
1,9,2025-12-09 19:03:25,2025-12-09 19:03:25.827,1,0
1,11,2025-12-09 19:03:27,2025-12-09 19:03:27.815,0,1
1,11,2025-12-09 19:03:27,2025-12-09 19:03:27.820,1,0
1,12,2025-12-09 19:03:28,2025-12-09 19:03:28.844,0,0
1,13,2025-12-09 19:03:28,2025-12-09 19:03:28.883,0,0
1,14,2025-12-09 19:03:29,2025-12-09 19:03:29.875,0,0
1,15,2025-12-09 19:03:30,2025-12-09 19:03:30.870,0,0
1,16,2025-12-09 19:03:31,2025-12-09 19:03:31.925,0,0
1,17,2025-12-09 19:03:32,2025-12-09 19:03:32.900,0,0
1,18,2025-12-09 19:03:32,2025-12-09 19:03:32.937,0,0
1,20,2025-12-09 19:03:34,2025-12-09 19:03:34.995,0,1
1,21,2025-12-09 19:03:35,2025-12-09 19:03:35.897,0,0
1,22,2025-12-09 19:03:36,2025-12-09 19:03:36.911,0,0
1,23,2025-12-09 19:03:36,2025-12-09 19:03:36.988,0,0
1,24,2025-12-09 19:03:37,2025-12-09 19:03:38.004,0,0
1,24,2025-12-09 19:03:37,2025-12-09 19:03:38.045,1,0
1,25,2025-12-09 19:03:38,2025-12-09 19:03:39.018,0,0
1,27,2025-12-09 19:03:40,2025-12-09 19:03:41.092,0,1
1,28,2025-12-09 19:03:40,2025-12-09 19:03:41.062,0,0
1,29,2025-12-09 19:03:41,2025-12-09 19:03:42.085,0,0
1,30,2025-12-09 19:03:43,2025-12-09 19:03:43.121,0,0
1,31,2025-12-09 19:03:44,2025-12-09 19:03:44.116,0,0
1,32,2025-12-09 19:03:45,2025-12-09 19:03:45.141,0,0
1,32,2025-12-09 19:03:45,2025-12-09 19:03:45.152,1,0
1,34,2025-12-09 19:03:46,2025-12-09 19:03:46.193,0,1
1,35,2025-12-09 19:03:47,2025-12-09 19:03:47.167,0,0
1,36,2025-12-09 19:03:48,2025-12-09 19:03:48.102,0,0
1,39,2025-12-09 19:03:50,2025-12-09 19:03:50.136,0,1
1,39,2025-12-09 19:03:50,2025-12-09 19:03:50.237,1,0
1,40,2025-12-09 19:03:51,2025-12-09 19:03:51.251,0,0
1,41,2025-12-09 19:03:52,2025-12-09 19:03:52.171,0,0
1,44,2025-12-09 19:03:54,2025-12-09 19:03:54.320,0,1
1,45,2025-12-09 19:03:55,2025-12-09 19:03:55.317,0,0
1,46,2025-12-09 19:03:56,2025-12-09 19:03:56.251,0,0
1,47,2025-12-09 19:03:57,2025-12-09 19:03:57.271,0,0
1,48,2025-12-09 19:03:57,2025-12-09 19:03:57.272,0,0
1,47,2025-12-09 19:03:57,2025-12-09 19:03:57.397,1,0
1,48,2025-12-09 19:03:57,2025-12-09 19:03:57.368,1,0
1,49,2025-12-09 19:03:58,2025-12-09 19:03:58.399,0,0
1,50,2025-12-09 19:03:59,2025-12-09 19:03:59.305,0,0
1,52,2025-12-09 19:04:01,2025-12-09 19:04:01.439,0,1
1,52,2025-12-09 19:04:01,2025-12-09 19:04:01.486,1,0
1,53,2025-12-09 19:04:01,2025-12-09 19:04:01.360,0,0
1,53,2025-12-09 19:04:01,2025-12-09 19:04:01.464,1,0
1,54,2025-12-09 19:04:02,2025-12-09 19:04:02.463,0,0
1,55,2025-12-09 19:04:03,2025-12-09 19:04:03.485,0,0
1,57,2025-12-09 19:04:05,2025-12-09 19:04:05.440,0,1
1,58,2025-12-09 19:04:05,2025-12-09 19:04:05.541,0,0
1,60,2025-12-09 19:04:07,2025-12-09 19:04:07.608,0,1
1,61,2025-12-09 19:04:08,2025-12-09 19:04:08.589,0,0
1,62,2025-12-09 19:04:09,2025-12-09 19:04:09.617,0,0
1,63,2025-12-09 19:04:09,2025-12-09 19:04:09.623,0,0
1,64,2025-12-09 19:04:10,2025-12-09 19:04:10.645,0,0
1,66,2025-12-09 19:04:12,2025-12-09 19:04:12.681,0,1
1,67,2025-12-09 19:04:13,2025-12-09 19:04:13.718,0,0
1,69,2025-12-09 19:04:14,2025-12-09 19:04:14.720,0,1
1,70,2025-12-09 19:04:15,2025-12-09 19:04:15.749,0,0
1,70,2025-12-09 19:04:15,2025-12-09 19:04:15.756,1,0
1,71,2025-12-09 19:04:16,2025-12-09 19:04:16.750,0,0
1,72,2025-12-09 19:04:17,2025-12-09 19:04:17.763,0,0
1,73,2025-12-09 19:04:17,2025-12-09 19:04:17.776,0,0
